t,I,V,gt
3900.000000,-80.003700,65.416600,0.118266
3930.000000,-80.003700,65.394300,0.117139
3960.000000,-80.003700,65.372000,0.116013
3990.000000,-80.009900,65.357100,0.114887
4020.000000,-79.997500,65.349700,0.113760
4050.000000,-80.003700,65.327300,0.112634
4080.000000,-79.997500,65.312500,0.111508
4110.000000,-80.009900,65.297600,0.110381
4140.000000,-79.997500,65.282700,0.109255
4170.000000,-80.003700,65.267800,0.108129
4200.000000,-79.997500,65.252900,0.107002
4230.000000,-79.997500,65.230600,0.105876
4260.000000,-79.997500,65.215700,0.104750
4290.000000,-80.003700,65.193400,0.103624
4320.000000,-79.997500,65.178500,0.102497
4350.000000,-79.997500,65.163600,0.101371
4380.000000,-80.003700,65.141300,0.100245
4410.000000,-80.003700,65.126400,0.099118
4440.000000,-80.003700,65.104100,0.097992
4470.000000,-80.003700,65.089200,0.096866
4500.000000,-79.991300,65.074400,0.095739
4530.000000,-80.016100,65.052000,0.094613
4560.000000,-80.009900,65.029700,0.093487
4590.000000,-80.003700,65.014800,0.092360
4620.000000,-80.003700,64.992500,0.091234
4650.000000,-79.997500,64.977600,0.090108
4680.000000,-80.003700,64.955300,0.088981
4710.000000,-80.009900,64.933000,0.087855
4740.000000,-80.003700,64.918100,0.086728
4770.000000,-79.997500,64.903200,0.085602
4800.000000,-79.997500,64.880900,0.084476
4830.000000,-79.997500,64.866000,0.083350
4860.000000,-79.997500,64.843700,0.082223
4890.000000,-80.003700,64.821400,0.081097
4920.000000,-80.003700,64.799100,0.079971
4950.000000,-80.003700,64.784200,0.078844
4980.000000,-79.997500,64.769300,0.077718
5010.000000,-80.003700,64.739500,0.076592
5040.000000,-80.003700,64.724700,0.075465
5070.000000,-80.003700,64.709800,0.074339
5100.000000,-80.009900,64.680000,0.073213
5130.000000,-80.009900,64.665100,0.072086
5160.000000,-80.003700,64.642800,0.070960
5190.000000,-79.997500,64.627900,0.069833
5220.000000,-80.003700,64.598200,0.068707
5250.000000,-80.009900,64.583300,0.067581
5280.000000,-80.003700,64.561000,0.066454
5310.000000,-80.009900,64.538600,0.065328
5340.000000,-80.009900,64.516300,0.064201
5370.000000,-79.997500,64.501400,0.063075
5400.000000,-80.003700,64.479100,0.061949
5430.000000,-80.003700,64.456800,0.060822
5460.000000,-80.003700,64.441900,0.059696
5490.000000,-80.003700,64.419600,0.058570
5520.000000,-80.003700,64.389800,0.057443
5550.000000,-80.003700,64.367500,0.056317
5580.000000,-80.003700,64.360100,0.055191
5610.000000,-80.003700,64.337700,0.054064
5640.000000,-80.003700,64.308000,0.052938
5670.000000,-80.003700,64.285700,0.051812
5700.000000,-80.003700,64.263300,0.050685
5730.000000,-80.003700,64.241000,0.049559
5760.000000,-79.997500,64.226100,0.048433
5790.000000,-80.003700,64.196400,0.047306
5820.000000,-80.003700,64.174100,0.046180
5850.000000,-79.997500,64.151700,0.045054
5880.000000,-80.003700,64.122000,0.043927
5910.000000,-80.009900,64.099700,0.042801
5940.000000,-80.003700,64.077300,0.041675
5970.000000,-80.003700,64.055000,0.040548
6000.000000,-80.003700,64.025200,0.039422
6030.000000,-80.003700,64.002900,0.038296
6060.000000,-80.009900,63.973200,0.037169
6090.000000,-80.003700,63.943400,0.036043
6120.000000,-79.997500,63.906200,0.034916
6150.000000,-80.003700,63.869000,0.033790
6180.000000,-80.003700,63.846700,0.032664
6210.000000,-80.003700,63.794600,0.031537
6240.000000,-80.003700,63.757400,0.030411
6270.000000,-79.997500,63.705300,0.029285
6300.000000,-79.997500,63.653200,0.028159
6330.000000,-80.003700,63.586300,0.027032
6360.000000,-79.997500,63.526700,0.025906
6390.000000,-79.997500,63.452300,0.024780
6420.000000,-79.997500,63.370500,0.023653
6450.000000,-80.009900,63.273800,0.022527
6480.000000,-80.003700,63.177000,0.021401
6510.000000,-79.997500,63.080300,0.020274
6540.000000,-80.009900,62.961300,0.019148
6570.000000,-80.003700,62.842200,0.018022
6600.000000,-80.003700,62.708300,0.016895
6630.000000,-80.003700,62.566900,0.015769
6660.000000,-80.003700,62.403200,0.014642
6690.000000,-80.003700,62.224700,0.013516
6720.000000,-80.003700,62.016300,0.012390
6750.000000,-80.003700,61.763300,0.011263
6780.000000,-80.003700,61.473200,0.010137
6810.000000,-80.003700,61.093700,0.009011
6840.000000,-80.003700,60.647300,0.007884
6870.000000,-80.003700,60.119000,0.006758
6900.000000,-79.997500,59.479100,0.005632
6930.000000,-79.997500,58.601100,0.004505
6960.000000,-80.003700,57.366000,0.003379
6990.000000,-80.003700,55.558000,0.002253
7020.000000,-80.003700,52.715700,0.001126
7050.000000,-80.009900,47.715700,0.000000
7076.000000,-80.003700,40.000000,0.000000
7076.000000,0.000000,53.363000,0.000000
7106.000000,0.000000,63.578800,0.000000
7136.000000,0.000000,65.282700,0.000000
7136.000000,80.028500,71.153200,0.000000
7166.000000,80.022300,73.080300,0.001042
7196.000000,80.022300,73.645800,0.002084
7226.000000,80.022300,73.891300,0.003126
7256.000000,80.022300,74.002900,0.004168
7286.000000,80.009900,74.069900,0.005210
7316.000000,80.016100,74.107100,0.006252
7346.000000,80.022300,74.129400,0.007293
7376.000000,80.022300,74.144300,0.008335
7406.000000,80.009900,74.151700,0.009377
7436.000000,80.009900,74.159200,0.010419
7466.000000,80.009900,74.174100,0.011461
7496.000000,80.022300,74.181500,0.012503
7526.000000,80.022300,74.196400,0.013545
7556.000000,80.016100,74.203800,0.014587
7586.000000,80.022300,74.218700,0.015629
7616.000000,80.016100,74.226100,0.016670
7646.000000,80.016100,74.241000,0.017712
7676.000000,80.016100,74.255900,0.018754
7706.000000,80.009900,74.263300,0.019796
7736.000000,80.028500,74.285700,0.020838
7766.000000,80.016100,74.293100,0.021880
7796.000000,80.016100,74.308000,0.022922
7826.000000,80.009900,74.322900,0.023964
7856.000000,80.009900,74.337700,0.025005
7886.000000,80.022300,74.360100,0.026047
7916.000000,80.009900,74.367500,0.027089
7946.000000,80.009900,74.389800,0.028131
7976.000000,80.022300,74.404700,0.029173
8006.000000,80.016100,74.419600,0.030215
8036.000000,80.009900,74.434500,0.031257
8066.000000,80.003700,74.456800,0.032298
8096.000000,80.022300,74.479100,0.033340
8126.000000,80.016100,74.486600,0.034382
8156.000000,80.009900,74.501400,0.035424
8186.000000,80.022300,74.523800,0.036466
8216.000000,80.016100,74.538600,0.037508
8246.000000,80.022300,74.546100,0.038550
8276.000000,80.009900,74.561000,0.039591
8306.000000,80.009900,74.575800,0.040633
8336.000000,80.009900,74.583300,0.041675
8366.000000,80.009900,74.598200,0.042717
8396.000000,80.022300,74.613000,0.043759
8426.000000,80.009900,74.620500,0.044801
8456.000000,80.016100,74.635400,0.045842
8486.000000,80.016100,74.642800,0.046884
8516.000000,80.028500,74.657700,0.047926
8546.000000,80.016100,74.672600,0.048968
8576.000000,80.016100,74.680000,0.050010
8606.000000,80.009900,74.687500,0.051052
8636.000000,80.003700,74.702300,0.052094
8666.000000,80.009900,74.709800,0.053135
